TIME,POWER,MOISTURE CONTENT (INITIAL),DIFFUSIVITY,MASS TRANSFER COEFFECIENT,BIOT NUMBER,MOISTURE RATIO
0,180,86.05,2.53E-09,0.001,9.86E+02,1
10,180,86.05,2.53E-09,0.001,9.86E+02,0.996938782
20,180,86.05,2.53E-09,0.001,9.86E+02,0.991581649
30,180,86.05,2.53E-09,0.001,9.86E+02,0.983545951
40,180,86.05,2.53E-09,0.001,9.86E+02,0.972449034
50,180,86.05,2.53E-09,0.001,9.86E+02,0.961352117
60,180,86.05,2.53E-09,0.001,9.86E+02,0.947959287
120,180,86.05,2.53E-09,0.001,9.86E+02,0.886734918
180,180,86.05,2.53E-09,0.001,9.86E+02,0.823214635
240,180,86.05,2.53E-09,0.001,9.86E+02,0.756250482
300,180,86.05,2.53E-09,0.001,9.86E+02,0.692347547
360,180,86.05,2.53E-09,0.001,9.86E+02,0.627679308
420,180,86.05,2.53E-09,0.001,9.86E+02,0.570664114
480,180,86.05,2.53E-09,0.001,9.86E+02,0.513266268
540,180,86.05,2.53E-09,0.001,9.86E+02,0.455868423
600,180,86.05,2.53E-09,0.001,9.86E+02,0.4022971
660,180,86.05,2.53E-09,0.001,9.86E+02,0.350639039
720,180,86.05,2.53E-09,0.001,9.86E+02,0.307781981
780,180,86.05,2.53E-09,0.001,9.86E+02,0.272577969
840,180,86.05,2.53E-09,0.001,9.86E+02,0.240817827
900,180,86.05,2.53E-09,0.001,9.86E+02,0.215562775
960,180,86.05,2.53E-09,0.001,9.86E+02,0.193751594
1020,180,86.05,2.53E-09,0.001,9.86E+02,0.170792456
1080,180,86.05,2.53E-09,0.001,9.86E+02,0.155869016
1200,180,86.05,2.53E-09,0.001,9.86E+02,0.126404788
1320,180,86.05,2.53E-09,0.001,9.86E+02,0.106889521
1440,180,86.05,2.53E-09,0.001,9.86E+02,0.091583429
1560,180,86.05,2.53E-09,0.001,9.86E+02,0.081251816
1680,180,86.05,2.53E-09,0.001,9.86E+02,0.072068161
1800,180,86.05,2.53E-09,0.001,9.86E+02,0.06518042
1920,180,86.05,2.53E-09,0.001,9.86E+02,0.06020594
2100,180,86.05,2.53E-09,0.001,9.86E+02,0.054466155
2280,180,86.05,2.53E-09,0.001,9.86E+02,0.051787589
